publishedAt,clean_title,neg,neu,pos,compound,predicted_label,date
2021-02-08 16:24:14,Tesla invests 1 5 billion in bitcoin sending the price soaring to new heights,0.0,0.134,0.866,0.9985,pos,2021-02-08
2021-02-08 18:24:14,Square Stock Hits All Time High As Tesla Purchase Sends Bitcoin Price Soaring,0.0,0.112,0.888,0.999,pos,2021-02-08
2021-02-08 20:24:14,Dow Jones Rises For Sixth Straight Session As Disney Stock Breaks Out Tesla Bullish On Bitcoin,0.0,0.209,0.791,0.9971,pos,2021-02-08
2021-02-08 13:24:14,Tesla Buys 1 5 Billion Worth of Bitcoin May Accept the Cryptocurrency as Payment in the Future,0.0,0.743,0.257,0.5423,pos,2021-02-08
2021-02-08 05:24:14,Tesla sends bitcoin soaring with 1 5 billion investment payment promise By Reuters,0.0,0.109,0.891,0.9985,pos,2021-02-08
2021-02-08 20:50:14,Square gains 10 as the payments company rides bitcoin s record breaking rise,0.0,0.192,0.808,0.9953,pos,2021-02-08
2021-02-08 18:24:14,Tesla buying 1 5 billion in bitcoin opens the company up to further scrutiny,0.0,0.37,0.63,0.9682,pos,2021-02-08
2021-02-08 07:24:14,Bill Miller to Allow Opportunity Fund to Buy Into Bitcoin Trust,0.0,0.5,0.5,0.7906,pos,2021-02-08
2021-02-08 05:24:14,Wall Street Opens Higher Tesla Bitcoin Buzz Helps Dow up By Investing com,0.0,0.561,0.439,0.8625,pos,2021-02-08
2021-02-08 05:24:14,Wall Street Opens Higher Tesla Bitcoin Buzz Helps Dow up By Investing com,0.0,0.561,0.439,0.8625,pos,2021-02-08
2021-02-08 13:24:14,Tesla buys 1 5 billion worth of bitcoin says may accept it for payment for products in the near,0.0,0.769,0.231,0.5423,pos,2021-02-08
2021-02-08 13:24:14,Tesla buys 1 5 billion worth of bitcoin says may accept it for payment for products in the near,0.0,0.769,0.231,0.5423,pos,2021-02-08
2021-02-08 06:24:14,Elon Musk Says Dogecoin s High Supply Relative To Bitcoin Can Actually Be An Advantage,0.0,0.4,0.6,0.9719,pos,2021-02-08
2021-02-08 14:24:14,India Mulls Ordinance Route To Ban Cryptocurrencies,0.375,0.625,0.0,-0.5574,neg,2021-02-08
2021-02-08 11:24:14,US stocks close at record highs as stimulus optimism continues,0.0,0.72,0.28,0.5423,pos,2021-02-08
2021-02-08 15:24:14,Wall Street opens higher continuing win streak,0.0,0.612,0.388,0.5859,pos,2021-02-08
2021-02-08 05:24:14,Indian parliament fast tracks bill to ban bitcoin and other cryptocurrencies By BTC Peers,0.217,0.783,0.0,-0.5574,neg,2021-02-08
2021-02-08 07:24:14,Stocks open higher on Wall Street continuing strong streak,0.0,0.708,0.292,0.5106,pos,2021-02-08
2021-02-08 15:24:14,Stocks open higher on Wall Street continuing strong streak,0.0,0.708,0.292,0.5106,pos,2021-02-08
2021-02-08 12:24:14,Wall Street hits all time closing highs on stimulus euphoria vaccine rollout,0.0,0.719,0.281,0.6486,pos,2021-02-08
2021-02-08 12:24:14,Wall Street hits all time closing highs on stimulus euphoria vaccine rollout,0.0,0.719,0.281,0.6486,pos,2021-02-08
2021-02-08 07:24:14,Stocks push to more gains and record highs on Wall Street,0.0,0.32,0.68,0.9823,pos,2021-02-08
2021-02-07 08:34:20,Green hackers around the world let s destroy Bitcoin,0.333,0.667,0.0,-0.5423,neg,2021-02-07
2021-02-08 14:02:00,Bitcoin jumps 10 to record high on Tesla investment news Reuters,0.0,0.118,0.882,0.9982,pos,2021-02-08
2021-02-08 15:11:00,Bitcoin hits record highs as Tesla jumps in but it s also great news for gold price Kitco NEWS,0.0,0.336,0.664,0.9916,pos,2021-02-08
2021-02-08 15:18:35,Bitcoin Spikes 16 To Record High After Tesla Says It Invested 1 5 Billion in the Cryptocurrency and Will Begin Accepting It as Payment,0.0,0.518,0.482,0.9738,pos,2021-02-08
2021-02-08 17:58:00,EXPLAINER Elon Musk loves it So what s all the buzz about bitcoin Reuters,0.0,0.764,0.236,0.5719,pos,2021-02-08
2021-02-08 21:03:00,US STOCKS Wall Street hits all time closing highs on stimulus euphoria vaccine rollout Reuters,0.0,0.765,0.235,0.6486,pos,2021-02-08
