id,dateid,timeid,trading_symbol,comp_sentiment
351,32,1081,BTC,-0.0481
352,32,1141,BTC,-0.6705
353,32,61,BTC,0.4108
354,32,1201,BTC,0.5994
355,32,1261,BTC,0.5267
356,32,1321,BTC,0.2268
357,32,241,BTC,0.4723
358,32,361,BTC,-0.5574
359,32,421,BTC,0.1131
360,32,481,BTC,0.055
361,32,541,BTC,0.6124
362,33,1,BTC,0.2488
363,33,61,BTC,-0.6808
364,33,121,BTC,-0.5859
365,33,181,BTC,-0.6705
366,33,301,BTC,-0.9997
367,33,361,BTC,-0.6705
368,33,421,BTC,0.9477
369,33,541,BTC,-0.3371
370,35,721,BTC,0.5046
371,35,781,BTC,-0.001
372,35,841,BTC,0.9682
373,35,901,BTC,0.4199
374,35,961,BTC,0.9985
375,35,1021,BTC,0.9985
376,35,1081,BTC,0.2312
377,35,1201,BTC,0.9628
378,35,1261,BTC,0.997
379,35,1321,BTC,0.0082
380,35,1381,BTC,0.5994
381,36,1,BTC,0.9325
382,36,601,BTC,0.9682
383,36,721,BTC,-0.0011
384,36,781,BTC,0.743
385,36,841,BTC,0.9781
386,36,1201,BTC,0.8934
387,36,1261,BTC,0.9682
388,36,1321,BTC,0.7964
389,36,1381,BTC,0.2047
390,36,241,BTC,0.9001
391,36,301,BTC,-0.765
392,36,481,BTC,0.071
393,36,541,BTC,-0.0339
394,37,1,BTC,0.9325
395,37,601,BTC,0.9985
396,37,721,BTC,0.3876
397,37,781,BTC,0.0086
398,37,841,BTC,0.0377
399,37,901,BTC,0.0448
400,37,961,BTC,0.9957
401,37,1021,BTC,0.4098
402,37,1081,BTC,0.3873
403,37,1141,BTC,0.9682
404,37,1201,BTC,0.6369
405,37,1261,BTC,0.9758
406,37,1321,BTC,0.9758
407,37,1381,BTC,0.7096
408,37,121,BTC,0.997
409,37,181,BTC,-0.8308
410,37,241,BTC,0.9853
411,37,361,BTC,0.6166
412,37,541,BTC,0.9549
413,38,601,BTC,0.9918
414,38,661,BTC,0.9682
415,38,721,BTC,0.7906
416,38,841,BTC,0.4
417,38,901,BTC,0.4178
418,38,961,BTC,0.3873
419,38,121,BTC,0.5719
420,38,301,BTC,-0.0027
421,38,481,BTC,-0.5423
422,38,541,BTC,0.3669
423,39,661,BTC,-0.2719
424,39,721,BTC,0.9819
425,39,781,BTC,0.9985
426,39,841,BTC,0.4412
427,39,901,BTC,0.999
428,39,961,BTC,0.9985
429,39,1021,BTC,0.999
430,39,1081,BTC,0.3082
431,39,1141,BTC,0.9682
432,39,1201,BTC,0.9984
433,39,1261,BTC,0.6486
434,39,301,BTC,0.2273
435,39,361,BTC,0.9719
436,39,421,BTC,0.9823
437,39,541,BTC,0.7506
438,40,1,BTC,0.9826
439,40,661,BTC,0.9984
440,40,721,BTC,0.9818
441,40,781,BTC,0.9682
442,40,841,BTC,0.9682
443,40,901,BTC,0.9682
444,40,961,BTC,0.9995
445,40,1021,BTC,-0.0784
446,40,1081,BTC,0.1153
447,40,1141,BTC,0.9081
448,40,1201,BTC,0.328
449,40,1261,BTC,0
450,40,1321,BTC,0.2586
451,40,1381,BTC,0.4879
452,40,361,BTC,0.9792
453,40,541,BTC,0.9732
454,41,121,BTC,-0.9682
455,41,181,BTC,0.4049
456,41,301,BTC,0.0136
457,41,361,BTC,0.9985
458,41,421,BTC,0.9818
459,25,601,BTC,0.9766
460,25,721,BTC,0.9818
461,25,781,BTC,0.7717
462,25,841,BTC,-0.8126
463,25,901,BTC,0.9682
464,25,961,BTC,0.9818
465,25,1021,BTC,0.6808
466,25,1141,BTC,0.8862
467,25,1201,BTC,0.9705
468,25,1261,BTC,-0.5859
469,25,1321,BTC,0.9986
470,25,121,BTC,-0.5994
471,25,361,BTC,0.984
472,25,481,BTC,0.984
473,26,1141,BTC,-0.1484
474,26,1201,BTC,-0.9993
475,26,1261,BTC,-0.7269
476,26,1321,BTC,-0.0643
477,26,1381,BTC,0.9468
478,26,121,BTC,-0.997
479,26,361,BTC,0.984
480,26,421,BTC,-0.9944
481,27,601,BTC,-0.6597
482,27,661,BTC,-0.9978
483,27,721,BTC,-0.016
484,27,781,BTC,-0.5574
485,27,841,BTC,-0.3362
486,27,901,BTC,0.0737
487,27,961,BTC,-0.0175
488,27,1021,BTC,-0.0144
489,27,1081,BTC,0.9834
490,27,1141,BTC,0.9771
491,27,1201,BTC,0.4062
492,27,1261,BTC,-0.7506
493,27,1381,BTC,0.4108
494,27,241,BTC,-0.015
495,27,301,BTC,-0.5574
496,27,481,BTC,-0.5267
497,27,541,BTC,-0.5859
498,28,601,BTC,0.0534
499,28,661,BTC,0.9726
500,28,721,BTC,0.6434
501,28,781,BTC,0.2559
502,28,841,BTC,0.4191
503,28,901,BTC,0.3034
504,28,961,BTC,0.3082
505,28,1021,BTC,0.9842
506,28,1081,BTC,-0.0439
507,28,1141,BTC,0
508,28,1201,BTC,0.3074
509,28,1261,BTC,0.4561
510,28,1321,BTC,0.3177
511,28,1381,BTC,0.4547
512,28,241,BTC,0.4397
513,28,301,BTC,0.8934
