time,close,compound,sma,ema
2021-01-31 02:00:00,33750.0,None,0.2023,0.3447
2021-01-31 03:00:00,33930.21,0.7906,0.2231,0.4547
2021-01-31 04:00:00,34034.31,None,0.2022,0.4547
2021-01-31 05:00:00,33756.39,0.9970,0.2291,0.5888
2021-01-31 06:00:00,33655.86,None,0.2096,0.5888
2021-01-31 07:00:00,33607.98,None,0.2155,0.5888
2021-01-31 08:00:00,33596.72,None,0.2219,0.5888
2021-01-31 09:00:00,33301.7,0.5574,0.2382,0.5793
2021-01-31 10:00:00,33653.68,-0.9993,0.2089,0.1686
2021-01-31 11:00:00,33563.23,-0.4512,0.1830,0.0255
2021-01-31 12:00:00,33974.05,0.0064,0.1736,0.0215
2021-01-31 13:00:00,33692.92,-0.2726,0.1530,-0.0360
2021-01-31 14:00:00,33330.71,0.6124,0.1614,0.0833
2021-01-31 15:00:00,32862.66,0.3246,0.1709,0.1255
2021-01-31 16:00:00,32891.86,0.7906,0.1941,0.2373
2021-01-31 17:00:00,32302.31,-0.2407,0.1870,0.1597
2021-01-31 18:00:00,32450.3,-0.9993,0.1577,-0.0232
2021-01-31 19:00:00,32808.8,0.4331,0.1704,0.0471
2021-01-31 20:00:00,32853.73,-0.9325,0.1429,-0.1008
2021-01-31 21:00:00,32560.73,None,0.1470,-0.1008
2021-01-31 22:00:00,32974.1,None,0.1204,-0.1008
2021-01-31 23:00:00,33092.98,None,0.1169,-0.1008
2021-02-01 00:00:00,32546.27,None,0.1275,-0.1008
2021-02-01 01:00:00,33430.29,0.4108,0.1221,0.0199
2021-02-01 02:00:00,33649.73,None,0.0929,0.0199
2021-02-01 03:00:00,33573.97,None,0.0929,0.0199
2021-02-01 04:00:00,33558.25,0.4723,0.1093,0.1402
2021-02-01 05:00:00,33755.4,None,0.1132,0.1402
2021-02-01 06:00:00,33518.89,-0.5574,0.1132,-0.0422
2021-02-01 07:00:00,33803.97,0.1131,0.1371,-0.0062
2021-02-01 08:00:00,34477.31,0.0550,0.1343,0.0067
2021-02-01 09:00:00,34354.47,0.6124,0.1502,0.1253
2021-02-01 10:00:00,34163.28,-0.9968,0.1056,-0.0815
2021-02-01 11:00:00,34183.33,0.3688,0.1075,-0.0025
2021-02-01 12:00:00,33770.23,0.9712,0.1376,0.1613
2021-02-01 13:00:00,33702.25,0.0113,0.1171,0.1369
2021-02-01 14:00:00,33532.81,-0.9993,0.0811,-0.0426
2021-02-01 15:00:00,33160.17,0.9818,0.1093,0.1154
2021-02-01 16:00:00,33460.83,0.0982,0.1150,0.1128
2021-02-01 17:00:00,33978.31,0.9682,0.1144,0.2397
2021-02-01 18:00:00,33731.52,-0.0481,0.1376,0.1976
2021-02-01 19:00:00,33838.13,-0.6705,0.1173,0.0723
2021-02-01 20:00:00,33831.55,0.5994,0.1319,0.1476
2021-02-01 21:00:00,33658.67,0.5267,0.1373,0.2012
2021-02-01 22:00:00,33539.39,0.2268,0.1399,0.2048
2021-02-01 23:00:00,33526.37,None,0.1399,0.2048
2021-02-02 00:00:00,33763.07,0.2488,0.1430,0.2117
2021-02-02 01:00:00,33744.71,-0.6808,0.0951,0.0745
2021-02-02 02:00:00,33646.0,-0.5859,0.0762,-0.0249
2021-02-02 03:00:00,33550.32,-0.6705,0.0356,-0.1205
2021-02-02 04:00:00,33876.37,None,0.0356,-0.1205
2021-02-02 05:00:00,33992.83,-0.9997,-0.0199,-0.2653
2021-02-02 06:00:00,34295.01,-0.6705,-0.0375,-0.3300
2021-02-02 07:00:00,34223.38,0.9477,-0.0115,-0.1312
2021-02-02 08:00:00,34663.87,None,-0.0115,-0.1312
2021-02-02 09:00:00,35334.04,-0.3371,-0.0351,-0.1665
2021-02-02 10:00:00,35160.24,None,-0.0090,-0.1665
2021-02-02 11:00:00,34720.15,None,0.0033,-0.1665
2021-02-02 12:00:00,34779.91,None,0.0032,-0.1665
2021-02-02 13:00:00,34844.73,None,0.0113,-0.1665
2021-02-02 14:00:00,34793.99,None,-0.0069,-0.1665
2021-02-02 15:00:00,34708.47,None,-0.0173,-0.1665
2021-02-02 16:00:00,34964.52,None,-0.0433,-0.1665
2021-02-02 17:00:00,34851.47,None,-0.0368,-0.1665
2021-02-02 18:00:00,35264.21,None,-0.0036,-0.1665
2021-02-02 19:00:00,35762.03,None,-0.0192,-0.1665
2021-02-02 20:00:00,35786.51,None,0.0147,-0.1665
2021-02-02 21:00:00,35653.07,None,0.0147,-0.1665
2021-02-02 22:00:00,35572.36,None,0.0147,-0.1665
2021-02-02 23:00:00,35466.24,None,0.0147,-0.1665
2021-02-03 00:00:00,36135.01,None,0.0147,-0.1665
2021-02-03 01:00:00,35879.27,None,-0.0006,-0.1665
2021-02-03 02:00:00,35889.37,None,-0.0006,-0.1665
2021-02-03 03:00:00,36403.47,None,-0.0006,-0.1665
2021-02-03 04:00:00,36628.85,None,-0.0195,-0.1665
2021-02-03 05:00:00,36460.12,None,-0.0195,-0.1665
2021-02-03 06:00:00,36535.9,None,0.0029,-0.1665
2021-02-03 07:00:00,36297.57,None,-0.0019,-0.1665
2021-02-03 08:00:00,36010.09,None,-0.0044,-0.1665
2021-02-03 09:00:00,35851.19,None,-0.0338,-0.1665
2021-02-03 10:00:00,35985.27,None,0.0143,-0.1665
2021-02-03 11:00:00,35969.41,None,-0.0043,-0.1665
2021-02-03 12:00:00,36178.86,None,-0.0585,-0.1665
2021-02-03 13:00:00,36537.42,None,-0.0626,-0.1665
2021-02-03 14:00:00,36548.6,None,-0.0041,-0.1665
2021-02-03 15:00:00,36850.0,None,-0.0698,-0.1665
2021-02-03 16:00:00,37146.67,None,-0.0818,-0.1665
2021-02-03 17:00:00,37176.86,None,-0.1626,-0.1665
2021-02-03 18:00:00,37114.14,None,-0.1721,-0.1665
2021-02-03 19:00:00,36788.89,None,-0.1268,-0.1665
2021-02-03 20:00:00,37039.88,None,-0.1994,-0.1665
2021-02-03 21:00:00,37256.97,None,-0.2801,-0.1665
2021-02-03 22:00:00,37276.31,None,-0.3435,-0.1665
2021-02-03 23:00:00,37618.87,None,-0.3435,-0.1665
2021-02-04 00:00:00,38063.15,None,-0.4281,-0.1665
2021-02-04 01:00:00,38147.35,None,-0.3860,-0.1665
2021-02-04 02:00:00,37896.36,None,-0.3460,-0.1665
2021-02-04 03:00:00,37498.78,None,-0.2649,-0.1665
2021-02-04 04:00:00,37678.39,None,-0.2649,-0.1665
2021-02-04 05:00:00,37578.23,None,-0.0200,-0.1665
2021-02-04 06:00:00,38076.43,None,0.3053,-0.1665
2021-02-04 07:00:00,37843.4,None,-0.3371,-0.1665
2021-02-04 08:00:00,37338.19,None,-0.3371,-0.1665
2021-02-04 09:00:00,37509.22,None,None,-0.1665
2021-02-04 10:00:00,37611.63,None,None,-0.1665
2021-02-04 11:00:00,37321.75,None,None,-0.1665
2021-02-04 12:00:00,37618.69,0.5046,0.5046,0.5020
2021-02-04 13:00:00,37587.58,-0.0010,0.2518,0.2330
2021-02-04 14:00:00,36795.15,0.9682,0.4906,0.5135
2021-02-04 15:00:00,36564.23,0.4199,0.4729,0.4849
2021-02-04 16:00:00,36929.36,0.9985,0.5780,0.6188
2021-02-04 17:00:00,36884.34,0.9985,0.6481,0.7066
2021-02-04 18:00:00,37141.96,0.2312,0.5886,0.6065
2021-02-04 19:00:00,37467.18,None,0.5886,0.6065
2021-02-04 20:00:00,37613.31,0.9628,0.6353,0.6845
2021-02-04 21:00:00,37643.0,0.9970,0.6755,0.7476
2021-02-04 22:00:00,37240.0,0.0082,0.6088,0.6080
2021-02-04 23:00:00,36936.66,0.5994,0.6079,0.6064
2021-02-05 00:00:00,36993.25,0.9325,0.6350,0.6622
2021-02-05 01:00:00,36632.38,None,0.6350,0.6622
2021-02-05 02:00:00,36958.28,None,0.6350,0.6622
2021-02-05 03:00:00,37366.02,None,0.6350,0.6622
2021-02-05 04:00:00,37266.78,0.9001,0.6554,0.7176
2021-02-05 05:00:00,37065.97,-0.7650,0.5539,0.4038
2021-02-05 06:00:00,37375.52,None,0.5539,0.4038
2021-02-05 07:00:00,37653.98,None,0.5539,0.4038
2021-02-05 08:00:00,37705.27,0.0710,0.5217,0.3221
2021-02-05 09:00:00,37251.07,-0.0339,0.4870,0.2436
2021-02-05 10:00:00,37395.91,0.9682,0.5153,0.3906
2021-02-05 11:00:00,37691.32,None,0.5153,0.3906
2021-02-05 12:00:00,37850.36,-0.0011,0.4866,0.3073
