max_scores,min_scores,final_scores,SMA
0.9712,0.0,0.9712,0.13651199999999997
0.9995,-0.9882,0.011300000000000088,0.12296799999999998
0.0,-0.9993,-0.9993,0.07980384615384614
0.9818,0.0,0.9818,0.11321111111111108
0.6249,-0.5267,0.09820000000000007,0.11267499999999998
0.9682,0.0,0.9682,0.11164642857142855
0.875,-0.9231,-0.04810000000000003,0.10613793103448274
0.0,-0.6705,-0.6705,0.05575517241379308
0.5994,0.0,0.5994,0.07387666666666665
0.5267,0.0,0.5267,0.05819999999999999
0.9918,-0.765,0.2268,0.06363870967741933
,,,0.06363870967741933
0.997,-0.7482,0.24880000000000002,0.06942499999999999
0.0,-0.6808,-0.6808,0.030731249999999984
0.0,-0.5859,-0.5859,0.04364999999999998
0.0,-0.6705,-0.6705,0.03679687499999998
,,,0.037777419354838686
0.0,-0.9997,-0.9997,0.014322580645161268
0.0,-0.6705,-0.6705,-0.02706129032258067
0.9477,0.0,0.9477,-0.00696129032258067
,,,-0.03354666666666669
0.6597,-0.9968,-0.33710000000000007,-0.03676000000000002
